m,m.released,m.tagline,m.title
"{title:The Matrix Reloaded,tagline:Free your mind,released:2003}",2003,Free your mind,The Matrix Reloaded
"{title:The Matrix Revolutions,tagline:Everything that has a beginning has an end,released:2003}",2003,Everything that has a beginning has an end,The Matrix Revolutions
"{title:The Devil's Advocate,tagline:Evil has its winning ways,released:1997}",1997,Evil has its winning ways,The Devil's Advocate
"{title:A Few Good Men,tagline:In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.,released:1992}",1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men
"{title:The Matrix,tagline:Welcome to the Real World,released:1999}",1999,Welcome to the Real World,The Matrix
"{title:Top Gun,tagline:I feel the need, the need for speed.,released:1986}",1986,"I feel the need, the need for speed.",Top Gun
"{title:Jerry Maguire,tagline:The rest of his life begins now.,released:2000}",2000,The rest of his life begins now.,Jerry Maguire
"{title:Stand By Me,tagline:For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.,released:1986}",1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me
"{title:As Good as It Gets,tagline:A comedy from the heart that goes for the throat.,released:1997}",1997,A comedy from the heart that goes for the throat.,As Good as It Gets
"{title:What Dreams May Come,tagline:After life there is more. The end is just the beginning.,released:1998}",1998,After life there is more. The end is just the beginning.,What Dreams May Come
"{title:Snow Falling on Cedars,tagline:First loves last. Forever.,released:1999}",1999,First loves last. Forever.,Snow Falling on Cedars
"{title:You've Got Mail,tagline:At odds in life... in love on-line.,released:1998}",1998,At odds in life... in love on-line.,You've Got Mail
"{title:Sleepless in Seattle,tagline:What if someone you never met, someone you never saw, someone you never knew was the only someone for you?,released:1993}",1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle
"{title:Joe Versus the Volcano,tagline:A story of love, lava and burning desire.,released:1990}",1990,"A story of love, lava and burning desire.",Joe Versus the Volcano
"{title:When Harry Met Sally,tagline:Can two friends sleep together and still love each other in the morning?,released:1998}",1998,Can two friends sleep together and still love each other in the morning?,When Harry Met Sally
"{title:That Thing You Do,tagline:In every life there comes a time when that thing you dream becomes that thing you do,released:1996}",1996,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do
"{title:The Replacements,tagline:Pain heals, Chicks dig scars... Glory lasts forever,released:2000}",2000,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements
"{title:RescueDawn,tagline:Based on the extraordinary true story of one man's fight for freedom,released:2006}",2006,Based on the extraordinary true story of one man's fight for freedom,RescueDawn
"{title:The Birdcage,tagline:Come as you are,released:1996}",1996,Come as you are,The Birdcage
"{title:Unforgiven,tagline:It's a hell of a thing, killing a man,released:1992}",1992,"It's a hell of a thing, killing a man",Unforgiven
"{title:Johnny Mnemonic,tagline:The hottest data on earth. In the coolest head in town,released:1995}",1995,The hottest data on earth. In the coolest head in town,Johnny Mnemonic
"{title:Cloud Atlas,tagline:Everything is connected,released:2012}",2012,Everything is connected,Cloud Atlas
"{title:The Da Vinci Code,tagline:Break The Codes,released:2006}",2006,Break The Codes,The Da Vinci Code
"{title:V for Vendetta,tagline:Freedom! Forever!,released:2006}",2006,Freedom! Forever!,V for Vendetta
"{title:Speed Racer,tagline:Speed has no limits,released:2008}",2008,Speed has no limits,Speed Racer
"{title:Ninja Assassin,tagline:Prepare to enter a secret world of assassins,released:2009}",2009,Prepare to enter a secret world of assassins,Ninja Assassin
"{title:The Green Mile,tagline:Walk a mile you'll never forget.,released:1999}",1999,Walk a mile you'll never forget.,The Green Mile
"{title:Frost/Nixon,tagline:400 million people were waiting for the truth.,released:2008}",2008,400 million people were waiting for the truth.,Frost/Nixon
"{title:Hoffa,tagline:He didn't want law. He wanted justice.,released:1992}",1992,He didn't want law. He wanted justice.,Hoffa
"{title:Apollo 13,tagline:Houston, we have a problem.,released:1995}",1995,"Houston, we have a problem.",Apollo 13
"{title:Twister,tagline:Don't Breathe. Don't Look Back.,released:1996}",1996,Don't Breathe. Don't Look Back.,Twister
"{title:Cast Away,tagline:At the edge of the world, his journey begins.,released:2000}",2000,"At the edge of the world, his journey begins.",Cast Away
"{title:One Flew Over the Cuckoo's Nest,tagline:If he's crazy, what does that make you?,released:1975}",1975,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest
"{title:Something's Gotta Give,released:2003}",2003,null,Something's Gotta Give
"{title:Bicentennial Man,tagline:One robot's 200 year journey to become an ordinary man.,released:1999}",1999,One robot's 200 year journey to become an ordinary man.,Bicentennial Man
"{title:Charlie Wilson's War,tagline:A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,released:2007}",2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War
"{title:The Polar Express,tagline:This Holiday Season… Believe,released:2004}",2004,This Holiday Season… Believe,The Polar Express
"{title:A League of Their Own,tagline:Once in a lifetime you get a chance to do something different.,released:1992}",1992,Once in a lifetime you get a chance to do something different.,A League of Their Own