m,born,name
{name:Charlize Theron,born:1975},1975,Charlize Theron
{name:Al Pacino,born:1940},1940,Al Pacino
{name:Taylor Hackford,born:1944},1944,Taylor Hackford
{name:Tom Cruise,born:1962},1962,Tom Cruise
{name:Jack Nicholson,born:1937},1937,Jack Nicholson
{name:Demi Moore,born:1962},1962,Demi Moore
{name:Kevin Bacon,born:1958},1958,Kevin Bacon
{name:Keanu Reeves,born:1964},1964,Keanu Reeves
{name:Carrie-Anne Moss,born:1967},1967,Carrie-Anne Moss
{name:Laurence Fishburne,born:1961},1961,Laurence Fishburne
{name:Hugo Weaving,born:1960},1960,Hugo Weaving
{name:Lilly Wachowski,born:1967},1967,Lilly Wachowski
{name:Lana Wachowski,born:1965},1965,Lana Wachowski
{name:Joel Silver,born:1952},1952,Joel Silver
{name:Emil Eifrem,born:1978},1978,Emil Eifrem
{name:Kiefer Sutherland,born:1966},1966,Kiefer Sutherland
{name:Noah Wyle,born:1971},1971,Noah Wyle
{name:Cuba Gooding Jr.,born:1968},1968,Cuba Gooding Jr.
{name:Kevin Pollak,born:1957},1957,Kevin Pollak
{name:J.T. Walsh,born:1943},1943,J.T. Walsh
{name:James Marshall,born:1967},1967,James Marshall
{name:Christopher Guest,born:1948},1948,Christopher Guest
{name:Rob Reiner,born:1947},1947,Rob Reiner
{name:Aaron Sorkin,born:1961},1961,Aaron Sorkin
{name:Kelly McGillis,born:1957},1957,Kelly McGillis
{name:Val Kilmer,born:1959},1959,Val Kilmer
{name:Anthony Edwards,born:1962},1962,Anthony Edwards
{name:Tom Skerritt,born:1933},1933,Tom Skerritt
{name:Meg Ryan,born:1961},1961,Meg Ryan
{name:Tony Scott,born:1944},1944,Tony Scott
{name:Jim Cash,born:1941},1941,Jim Cash
{name:Renee Zellweger,born:1969},1969,Renee Zellweger
{name:Kelly Preston,born:1962},1962,Kelly Preston
{name:Jerry O'Connell,born:1974},1974,Jerry O'Connell
{name:Jay Mohr,born:1970},1970,Jay Mohr
{name:Bonnie Hunt,born:1961},1961,Bonnie Hunt
{name:Regina King,born:1971},1971,Regina King
{name:Jonathan Lipnicki,born:1996},1996,Jonathan Lipnicki
{name:Cameron Crowe,born:1957},1957,Cameron Crowe
{name:River Phoenix,born:1970},1970,River Phoenix
{name:Corey Feldman,born:1971},1971,Corey Feldman
{name:Wil Wheaton,born:1972},1972,Wil Wheaton
{name:John Cusack,born:1966},1966,John Cusack
{name:Marshall Bell,born:1942},1942,Marshall Bell
{name:Helen Hunt,born:1963},1963,Helen Hunt
{name:Greg Kinnear,born:1963},1963,Greg Kinnear
{name:James L. Brooks,born:1940},1940,James L. Brooks
{name:Annabella Sciorra,born:1960},1960,Annabella Sciorra
{name:Max von Sydow,born:1929},1929,Max von Sydow
{name:Werner Herzog,born:1942},1942,Werner Herzog
{name:Robin Williams,born:1951},1951,Robin Williams
{name:Vincent Ward,born:1956},1956,Vincent Ward
{name:Ethan Hawke,born:1970},1970,Ethan Hawke
{name:Rick Yune,born:1971},1971,Rick Yune
{name:James Cromwell,born:1940},1940,James Cromwell
{name:Scott Hicks,born:1953},1953,Scott Hicks
{name:Parker Posey,born:1968},1968,Parker Posey
{name:Dave Chappelle,born:1973},1973,Dave Chappelle
{name:Steve Zahn,born:1967},1967,Steve Zahn
{name:Tom Hanks,born:1956},1956,Tom Hanks
{name:Nora Ephron,born:1941},1941,Nora Ephron
{name:Rita Wilson,born:1956},1956,Rita Wilson
{name:Bill Pullman,born:1953},1953,Bill Pullman
{name:Victor Garber,born:1949},1949,Victor Garber
{name:Rosie O'Donnell,born:1962},1962,Rosie O'Donnell
{name:John Patrick Stanley,born:1950},1950,John Patrick Stanley
{name:Nathan Lane,born:1956},1956,Nathan Lane
{name:Billy Crystal,born:1948},1948,Billy Crystal
{name:Carrie Fisher,born:1956},1956,Carrie Fisher
{name:Bruno Kirby,born:1949},1949,Bruno Kirby
{name:Liv Tyler,born:1977},1977,Liv Tyler
{name:Brooke Langton,born:1970},1970,Brooke Langton
{name:Gene Hackman,born:1930},1930,Gene Hackman
{name:Orlando Jones,born:1968},1968,Orlando Jones
{name:Howard Deutch,born:1950},1950,Howard Deutch
{name:Christian Bale,born:1974},1974,Christian Bale
{name:Zach Grenier,born:1954},1954,Zach Grenier
{name:Mike Nichols,born:1931},1931,Mike Nichols
{name:Richard Harris,born:1930},1930,Richard Harris
{name:Clint Eastwood,born:1930},1930,Clint Eastwood
{name:Takeshi Kitano,born:1947},1947,Takeshi Kitano
{name:Dina Meyer,born:1968},1968,Dina Meyer
{name:Ice-T,born:1958},1958,Ice-T
{name:Robert Longo,born:1953},1953,Robert Longo
{name:Halle Berry,born:1966},1966,Halle Berry
{name:Jim Broadbent,born:1949},1949,Jim Broadbent
{name:Tom Tykwer,born:1965},1965,Tom Tykwer
{name:David Mitchell,born:1969},1969,David Mitchell
{name:Stefan Arndt,born:1961},1961,Stefan Arndt
{name:Ian McKellen,born:1939},1939,Ian McKellen
{name:Audrey Tautou,born:1976},1976,Audrey Tautou
{name:Paul Bettany,born:1971},1971,Paul Bettany
{name:Ron Howard,born:1954},1954,Ron Howard
{name:Natalie Portman,born:1981},1981,Natalie Portman
{name:Stephen Rea,born:1946},1946,Stephen Rea
{name:John Hurt,born:1940},1940,John Hurt
{name:Ben Miles,born:1967},1967,Ben Miles
{name:Emile Hirsch,born:1985},1985,Emile Hirsch
{name:John Goodman,born:1960},1960,John Goodman
{name:Susan Sarandon,born:1946},1946,Susan Sarandon
{name:Matthew Fox,born:1966},1966,Matthew Fox
{name:Christina Ricci,born:1980},1980,Christina Ricci
{name:Rain,born:1982},1982,Rain
{name:Naomie Harris},null,Naomie Harris
{name:Michael Clarke Duncan,born:1957},1957,Michael Clarke Duncan
{name:David Morse,born:1953},1953,David Morse
{name:Sam Rockwell,born:1968},1968,Sam Rockwell
{name:Gary Sinise,born:1955},1955,Gary Sinise
{name:Patricia Clarkson,born:1959},1959,Patricia Clarkson
{name:Frank Darabont,born:1959},1959,Frank Darabont
{name:Frank Langella,born:1938},1938,Frank Langella
{name:Michael Sheen,born:1969},1969,Michael Sheen
{name:Oliver Platt,born:1960},1960,Oliver Platt
{name:Danny DeVito,born:1944},1944,Danny DeVito
{name:John C. Reilly,born:1965},1965,John C. Reilly
{name:Ed Harris,born:1950},1950,Ed Harris
{name:Bill Paxton,born:1955},1955,Bill Paxton
{name:Philip Seymour Hoffman,born:1967},1967,Philip Seymour Hoffman
{name:Jan de Bont,born:1943},1943,Jan de Bont
{name:Robert Zemeckis,born:1951},1951,Robert Zemeckis
{name:Milos Forman,born:1932},1932,Milos Forman
{name:Diane Keaton,born:1946},1946,Diane Keaton
{name:Nancy Meyers,born:1949},1949,Nancy Meyers
{name:Chris Columbus,born:1958},1958,Chris Columbus
{name:Julia Roberts,born:1967},1967,Julia Roberts
{name:Madonna,born:1954},1954,Madonna
{name:Geena Davis,born:1956},1956,Geena Davis
{name:Lori Petty,born:1963},1963,Lori Petty
{name:Penny Marshall,born:1943},1943,Penny Marshall
{name:Paul Blythe},null,Paul Blythe
{name:Angela Scope},null,Angela Scope
{name:Jessica Thompson},null,Jessica Thompson
{name:James Thompson},null,James Thompson
